_id,Year,Population,GDP Agriculture,GDP Per Capita,Domestic Consumer Account,Average Electricity Price,Electricity Sales,Electricity Classes,GDP Service
"ObjectId(""5ea2d9b712b0dd22907cbc5d"")",1978,14.33,"129,301","95,344","111,384",2.24,185,1,"831,530"
"ObjectId(""5ea2d9b712b0dd22907cbc5e"")",1979,14.61,"137,475","99,438","139,815",2.85,230,1,"884,095"
"ObjectId(""5ea2d9b712b0dd22907cbc5f"")",1980,14.87,"145,455","103,381","165,193",4.35,256,2,"935,417"
"ObjectId(""5ea2d9b712b0dd22907cbc60"")",1981,15.09,"153,859","107,753","191,900",6.02,257,3,"989,463"
"ObjectId(""5ea2d9b712b0dd22907cbc61"")",1982,15.3,"161,661","111,634","224,369",9.18,303,5,"1,039,639"
"ObjectId(""5ea2d9b712b0dd22907cbc62"")",1983,15.51,"169,680","115,622","255,799",7.91,334,4,"1,091,204"
"ObjectId(""5ea2d9b712b0dd22907cbc63"")",1984,15.72,"178,251","119,836","296,462",7.09,344,4,"1,146,327"
"ObjectId(""5ea2d9b712b0dd22907cbc64"")",1985,15.98,"187,087","123,737","352,486",7.57,393,4,"1,203,152"
"ObjectId(""5ea2d9b712b0dd22907cbc65"")",1986,16.24,"195,097","126,953","421,503",7.72,430,4,"1,254,663"
"ObjectId(""5ea2d9b712b0dd22907cbc66"")",1987,16.47,"197,933","126,965","476,725",7.23,496,4,"1,272,901"
"ObjectId(""5ea2d9b712b0dd22907cbc67"")",1988,16.7,"203,274","128,653","537,318",7.19,527,4,"1,307,249"
"ObjectId(""5ea2d9b712b0dd22907cbc68"")",1989,16.9,"207,848","129,964","613,659",5.78,557,3,"1,336,666"
"ObjectId(""5ea2d9b712b0dd22907cbc69"")",1990,17.12,"220,680","136,211","783,362",5.78,655,3,"1,419,186"
"ObjectId(""5ea2d9b712b0dd22907cbc6a"")",1991,17.32,"230,857","140,858","909,563",6.14,678,3,"1,484,631"
"ObjectId(""5ea2d9b712b0dd22907cbc6b"")",1992,17.46,"240,736","145,678","1,091,250",6.77,708,3,"1,548,165"
"ObjectId(""5ea2d9b712b0dd22907cbc6c"")",1993,17.61,"257,457","154,515","1,274,397",7.46,762,4,"1,655,699"
"ObjectId(""5ea2d9b712b0dd22907cbc6d"")",1994,17.75,"271,947","161,869","1,424,065",8.68,711,4,"1,748,881"
"ObjectId(""5ea2d9b712b0dd22907cbc6e"")",1995,17.9,"286,774","169,291","1,538,015",8.01,785,4,"1,844,237"
"ObjectId(""5ea2d9b712b0dd22907cbc6f"")",1996,18.05,"297,545","174,204","1,695,485",5.92,858,3,"1,913,503"
"ObjectId(""5ea2d9b712b0dd22907cbc70"")",1997,18.2,"316,284","183,652","1,852,321",6.12,950,3,"2,034,013"
"ObjectId(""5ea2d9b712b0dd22907cbc71"")",1998,18.35,"331,262","190,767","2,035,459",6.78,981,3,"2,130,338"
"ObjectId(""5ea2d9b712b0dd22907cbc72"")",1999,18.5,"345,604","197,389","2,248,484",6.88,1066,3,"2,222,568"
